"No.","Time","DeltaDisplay","DeltaApplication","Source","Destination","Protocol","Len","ColorRule","Protocol","IP TTL","Stream#","SEQ","DNS TTL","DNS Retrans","QType","RType","Transaction ID","Info"
"67","33896999.644546","0.319323","","10.42.0.142","142.250.184.234","UDP","100","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=58"
"68","33896999.848880","0.204334","","142.250.184.234","10.42.0.142","UDP","69","7-GQUIC","UDP","51","0","","","","","","","https(443)  >  36147 Len=27"
"69","33896999.857617","0.008737","","142.250.184.234","10.42.0.142","UDP","1388","7-GQUIC","UDP","51","0","","","","","","","https(443)  >  36147 Len=1346"
"70","33896999.857640","0.000023","","142.250.184.234","10.42.0.142","UDP","421","7-GQUIC","UDP","51","0","","","","","","","https(443)  >  36147 Len=379"
"71","33896999.858231","0.000591","","10.42.0.142","142.250.184.234","UDP","77","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=35"
"72","33896999.884532","0.026301","","10.42.0.142","142.250.184.234","UDP","75","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=33"
"73","33897000.216888","0.332356","","10.42.0.142","142.250.184.234","UDP","75","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=33"
"74","33897000.372106","0.155218","","142.250.184.234","10.42.0.142","UDP","67","7-GQUIC","UDP","51","0","","","","","","","https(443)  >  36147 Len=25"
"75","33897001.363262","0.991156","","10.42.0.142","142.250.184.234","UDP","101","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=59"
"76","33897001.557233","0.193971","","142.250.184.234","10.42.0.142","UDP","71","7-GQUIC","UDP","51","0","","","","","","","https(443)  >  36147 Len=29"
"77","33897001.557857","0.000624","","10.42.0.142","142.250.184.234","UDP","75","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=33"
"78","33897001.566207","0.008350","","142.250.184.234","10.42.0.142","UDP","1388","7-GQUIC","UDP","51","0","","","","","","","https(443)  >  36147 Len=1346"
"79","33897001.566228","0.000021","","142.250.184.234","10.42.0.142","UDP","421","7-GQUIC","UDP","51","0","","","","","","","https(443)  >  36147 Len=379"
"80","33897001.566647","0.000419","","10.42.0.142","142.250.184.234","UDP","79","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=37"
"81","33897001.566704","0.000057","","10.42.0.142","142.250.184.234","UDP","75","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=33"
"82","33897001.785657","0.218953","","142.250.184.234","10.42.0.142","UDP","67","7-GQUIC","UDP","51","0","","","","","","","https(443)  >  36147 Len=25"
"83","33897002.741678","0.956021","","10.42.0.142","142.250.184.234","UDP","101","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=59"
"84","33897002.936572","0.194894","","142.250.184.234","10.42.0.142","UDP","69","7-GQUIC","UDP","51","0","","","","","","","https(443)  >  36147 Len=27"
"85","33897002.944900","0.008328","","142.250.184.234","10.42.0.142","UDP","1388","7-GQUIC","UDP","51","0","","","","","","","https(443)  >  36147 Len=1346"
"86","33897002.945268","0.000368","","142.250.184.234","10.42.0.142","UDP","421","7-GQUIC","UDP","51","0","","","","","","","https(443)  >  36147 Len=379"
"87","33897002.945320","0.000052","","10.42.0.142","142.250.184.234","UDP","77","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=35"
"88","33897002.976838","0.031518","","10.42.0.142","142.250.184.234","UDP","75","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=33"
"89","33897003.226221","0.249383","","142.250.184.234","10.42.0.142","UDP","67","7-GQUIC","UDP","51","0","","","","","","","https(443)  >  36147 Len=25"
"90","33897003.975067","0.748846","","10.42.0.142","142.250.184.234","UDP","101","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=59"
"91","33897004.251477","0.276410","","142.250.184.234","10.42.0.142","UDP","69","7-GQUIC","UDP","51","0","","","","","","","https(443)  >  36147 Len=27"
"92","33897004.259821","0.008344","","142.250.184.234","10.42.0.142","UDP","1388","7-GQUIC","UDP","51","0","","","","","","","https(443)  >  36147 Len=1346"
"93","33897004.260153","0.000332","","142.250.184.234","10.42.0.142","UDP","421","7-GQUIC","UDP","51","0","","","","","","","https(443)  >  36147 Len=379"
"94","33897004.266321","0.006168","","10.42.0.142","142.250.184.234","UDP","77","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=35"
"95","33897004.293867","0.027546","","10.42.0.142","142.250.184.234","UDP","75","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=33"
"96","33897004.562608","0.268741","","142.250.184.234","10.42.0.142","UDP","67","7-GQUIC","UDP","51","0","","","","","","","https(443)  >  36147 Len=25"
"97","33897004.826169","0.263561","","10.42.0.142","142.250.184.234","UDP","101","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=59"
"98","33897005.174036","0.347867","","10.42.0.142","142.250.184.234","UDP","101","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=59"
"99","33897005.199122","0.025086","","142.250.184.234","10.42.0.142","UDP","69","7-GQUIC","UDP","52","0","","","","","","","https(443)  >  36147 Len=27"
"100","33897005.199128","0.000006","","142.250.184.234","10.42.0.142","UDP","1388","7-GQUIC","UDP","52","0","","","","","","","https(443)  >  36147 Len=1346"
"101","33897005.199132","0.000004","","142.250.184.234","10.42.0.142","UDP","392","7-GQUIC","UDP","52","0","","","","","","","https(443)  >  36147 Len=350"
"102","33897005.205197","0.006065","","10.42.0.142","142.250.184.234","UDP","77","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=35"
"103","33897005.235229","0.030032","","10.42.0.142","142.250.184.234","UDP","75","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=33"
"104","33897005.394526","0.159297","","142.250.184.234","10.42.0.142","UDP","67","7-GQUIC","UDP","52","0","","","","","","","https(443)  >  36147 Len=25"
"105","33897005.595242","0.200716","","10.42.0.142","142.250.184.234","UDP","75","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=33"
"106","33897005.613393","0.018151","","142.250.184.234","10.42.0.142","UDP","67","7-GQUIC","UDP","52","0","","","","","","","https(443)  >  36147 Len=25"
"107","33897005.619507","0.006114","","10.42.0.142","142.250.184.234","UDP","75","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=33"
"108","33897005.822689","0.203182","","142.250.184.234","10.42.0.142","UDP","71","7-GQUIC","UDP","52","0","","","","","","","https(443)  >  36147 Len=29"
"109","33897005.861410","0.038721","","142.250.184.234","10.42.0.142","UDP","67","7-GQUIC","UDP","52","0","","","","","","","https(443)  >  36147 Len=25"
"110","33897005.861809","0.000399","","10.42.0.142","142.250.184.234","UDP","77","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=35"
"111","33897007.557736","1.695927","","10.42.0.142","142.250.184.234","UDP","195","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=153"
"112","33897007.809202","0.251466","","142.250.184.234","10.42.0.142","UDP","71","7-GQUIC","UDP","52","0","","","","","","","https(443)  >  36147 Len=29"
"113","33897007.809204","0.000002","","142.250.184.234","10.42.0.142","UDP","1388","7-GQUIC","UDP","52","0","","","","","","","https(443)  >  36147 Len=1346"
"114","33897007.809206","0.000002","","142.250.184.234","10.42.0.142","UDP","462","7-GQUIC","UDP","52","0","","","","","","","https(443)  >  36147 Len=420"
"115","33897007.809746","0.000540","","10.42.0.142","142.250.184.234","UDP","77","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=35"
"116","33897007.835984","0.026238","","10.42.0.142","142.250.184.234","UDP","75","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=33"
"117","33897008.179124","0.343140","","10.42.0.142","142.250.184.234","UDP","75","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=33"
"118","33897008.356121","0.176997","","142.250.184.234","10.42.0.142","UDP","69","7-GQUIC","UDP","52","0","","","","","","","https(443)  >  36147 Len=27"
"119","33897021.769762","13.413641","","10.42.0.142","142.250.184.234","UDP","101","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=59"
"120","33897022.063993","0.294231","","142.250.184.234","10.42.0.142","UDP","73","7-GQUIC","UDP","51","0","","","","","","","https(443)  >  36147 Len=31"
"121","33897022.072947","0.008954","","142.250.184.234","10.42.0.142","UDP","1388","7-GQUIC","UDP","51","0","","","","","","","https(443)  >  36147 Len=1346"
"122","33897022.072960","0.000013","","142.250.184.234","10.42.0.142","UDP","457","7-GQUIC","UDP","51","0","","","","","","","https(443)  >  36147 Len=415"
"123","33897022.074343","0.001383","","10.42.0.142","142.250.184.234","UDP","77","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=35"
"124","33897022.105923","0.031580","","10.42.0.142","142.250.184.234","UDP","75","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=33"
"125","33897022.440787","0.334864","","10.42.0.142","142.250.184.234","UDP","75","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=33"
"126","33897022.799087","0.358300","","142.250.184.234","10.42.0.142","UDP","67","7-GQUIC","UDP","51","0","","","","","","","https(443)  >  36147 Len=25"
"127","41396922.540788","7499899.741701","","10.42.0.196","10.42.0.1","DNS","74","7-DNS","UDP","64","1","","","","A (Host Address)","","0xb6e2","Standard query 0xb6e2 A g.whatsapp.net"
"128","41396922.811900","0.271112","0.271112000","10.42.0.1","10.42.0.196","DNS","113","7-DNS","UDP","64","1","","899,60","","A (Host Address)","CNAME (Canonical NAME for an alias),A (Host Address)","0xb6e2","Standard query response 0xb6e2 A g.whatsapp.net CNAME chat.cdn.whatsapp.net A 31.13.64.53"
"129","41396922.746246","-0.065654","","10.42.0.196","10.42.0.1","DNS","83","7-DNS","UDP","64","2","","","","A (Host Address)","","0xe5ab","Standard query 0xe5ab A youtubei.googleapis.com"
"130","41396923.179287","0.433041","0.433041000","10.42.0.1","10.42.0.196","DNS","83","7-DNS","UDP","64","2","","","","A (Host Address)","","0xe5ab","Standard query response 0xe5ab Server failure A youtubei.googleapis.com"
"131","41396922.746307","-0.432980","","10.42.0.196","10.42.0.1","DNS","83","7-DNS","UDP","64","3","","","","A (Host Address)","","0xede3","Standard query 0xede3 A youtubei.googleapis.com"
"132","41396923.179278","0.432971","0.432971000","10.42.0.1","10.42.0.196","DNS","83","7-DNS","UDP","64","3","","","","A (Host Address)","","0xede3","Standard query response 0xede3 Server failure A youtubei.googleapis.com"
"133","41396922.819114","-0.360164","","10.42.0.196","chat.cdn.whatsapp.net","TCP","74","N-TCP SYN","TCP","64","1","0","","","","","","38576  >  xmpp-client(5222) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=3098277 TSecr=0 WS=512"
"134","41396923.026322","0.207208","","chat.cdn.whatsapp.net","10.42.0.196","TCP","74","N-TCP SYN","TCP","78","1","0","","","","","","xmpp-client(5222)  >  38576 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1392 SACK_PERM=1 TSval=2952986842 TSecr=3098277 WS=256"
"135","41396923.026916","0.000594","","10.42.0.196","chat.cdn.whatsapp.net","TCP","66","4-TCP","TCP","64","1","1","","","","","","38576  >  xmpp-client(5222) [ACK] Seq=1 Ack=1 Win=88064 Len=0 TSval=3098298 TSecr=2952986842"
"136","41396923.050852","0.023936","","10.42.0.196","chat.cdn.whatsapp.net","TCP","70","4-TCP","TCP","64","1","1","","","","","","38576  >  xmpp-client(5222) [PSH, ACK] Seq=1 Ack=1 Win=88064 Len=4 TSval=3098300 TSecr=2952986842"
"137","41396923.230615","0.179763","","chat.cdn.whatsapp.net","10.42.0.196","TCP","66","4-TCP","TCP","78","1","1","","","","","","xmpp-client(5222)  >  38576 [ACK] Seq=1 Ack=5 Win=65536 Len=0 TSval=2952987072 TSecr=3098300"
"138","41396923.232187","0.001572","","10.42.0.196","chat.cdn.whatsapp.net","TCP","336","4-TCP","TCP","64","1","5","","","","","","38576  >  xmpp-client(5222) [PSH, ACK] Seq=5 Ack=1 Win=88064 Len=270 TSval=3098318 TSecr=2952987072"
"139","41396923.351160","0.118973","","chat.cdn.whatsapp.net","10.42.0.196","TCP","66","4-TCP","TCP","78","1","1","","","","","","xmpp-client(5222)  >  38576 [ACK] Seq=1 Ack=275 Win=66816 Len=0 TSval=2952987260 TSecr=3098318"
"140","41396923.443880","0.092720","","chat.cdn.whatsapp.net","10.42.0.196","TCP","123","4-TCP","TCP","78","1","1","","","","","","xmpp-client(5222)  >  38576 [PSH, ACK] Seq=1 Ack=275 Win=66816 Len=57 TSval=2952987352 TSecr=3098318"
"141","41396923.443909","0.000029","","chat.cdn.whatsapp.net","10.42.0.196","TCP","123","4-TCP","TCP","78","1","58","","","","","","xmpp-client(5222)  >  38576 [PSH, ACK] Seq=58 Ack=275 Win=66816 Len=57 TSval=2952987352 TSecr=3098318"
"142","41396923.444429","0.000520","","10.42.0.196","chat.cdn.whatsapp.net","TCP","66","4-TCP","TCP","64","1","275","","","","","","38576  >  xmpp-client(5222) [ACK] Seq=275 Ack=58 Win=88064 Len=0 TSval=3098340 TSecr=2952987352"
"143","41396923.444668","0.000239","","10.42.0.196","chat.cdn.whatsapp.net","TCP","66","4-TCP","TCP","64","1","275","","","","","","38576  >  xmpp-client(5222) [ACK] Seq=275 Ack=115 Win=88064 Len=0 TSval=3098340 TSecr=2952987352"
"144","41396923.450256","0.005588","","10.42.0.196","chat.cdn.whatsapp.net","TCP","69","4-TCP","TCP","64","1","275","","","","","","38576  >  xmpp-client(5222) [PSH, ACK] Seq=275 Ack=115 Win=88064 Len=3 TSval=3098340 TSecr=2952987352"
"145","41396923.560313","0.110057","","chat.cdn.whatsapp.net","10.42.0.196","TCP","66","4-TCP","TCP","78","1","115","","","","","","xmpp-client(5222)  >  38576 [ACK] Seq=115 Ack=278 Win=66816 Len=0 TSval=2952987469 TSecr=3098340"
"146","41396923.560644","0.000331","","chat.cdn.whatsapp.net","10.42.0.196","TCP","112","4-TCP","TCP","78","1","115","","","","","","xmpp-client(5222)  >  38576 [PSH, ACK] Seq=115 Ack=278 Win=66816 Len=46 TSval=2952987470 TSecr=3098340"
"147","41396923.561222","0.000578","","chat.cdn.whatsapp.net","10.42.0.196","TCP","248","4-TCP","TCP","78","1","161","","","","","","xmpp-client(5222)  >  38576 [PSH, ACK] Seq=161 Ack=278 Win=66816 Len=182 TSval=2952987470 TSecr=3098340"
"148","41396923.561274","0.000052","","10.42.0.196","chat.cdn.whatsapp.net","TCP","141","4-TCP","TCP","64","1","278","","","","","","38576  >  xmpp-client(5222) [PSH, ACK] Seq=278 Ack=115 Win=88064 Len=75 TSval=3098351 TSecr=2952987469"
"149","41396923.562015","0.000741","","10.42.0.196","chat.cdn.whatsapp.net","TCP","66","4-TCP","TCP","64","1","353","","","","","","38576  >  xmpp-client(5222) [ACK] Seq=353 Ack=343 Win=88064 Len=0 TSval=3098351 TSecr=2952987470"
"150","41396923.625412","0.063397","","chat.cdn.whatsapp.net","10.42.0.196","TCP","103","4-TCP","TCP","78","1","343","","","","","","xmpp-client(5222)  >  38576 [PSH, ACK] Seq=343 Ack=278 Win=66816 Len=37 TSval=2952987534 TSecr=3098340"
